index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
0,18.612273,9.400507,-1.679498,9.310303,3.709297,-7.771648,-0.000000,0.000000,-0.000000
1,21.062158,12.346108,0.001935,11.579558,5.818648,-8.549925,-0.000000,-0.000000,0.000000
2,1.546382,-7.249439,-10.266843,1.516651,-2.371389,-0.935033,-0.000000,-0.000000,-0.000000
3,21.919549,14.132053,0.130387,12.626009,6.510623,-9.226753,0.000000,0.000000,0.000000
4,21.514623,11.912485,-1.051135,11.247023,5.308625,-9.245845,0.000000,0.000000,-0.000000
5,7.002059,8.179607,3.552902,8.229899,2.661307,-3.528508,0.000000,-0.000000,-0.000000
6,21.090498,13.670826,-1.179303,11.820538,5.704206,-9.530263,-0.000000,-0.000000,0.000000
7,21.507064,13.428597,-2.394389,11.474464,5.186917,-10.339529,0.000000,-0.000000,0.000000
8,21.645641,15.277047,-0.826724,12.789961,6.385357,-9.851154,-0.000000,-0.000000,0.000000
9,8.325594,-9.508276,-5.784122,2.788094,-1.529376,-1.742532,0.000000,-0.000000,-0.000000
10,7.755273,-7.906592,-4.804653,3.237323,-1.121462,-1.771423,-0.000000,-0.000000,-0.000000
11,21.052246,14.521350,-2.572527,11.791596,5.398430,-10.399307,-0.000000,0.000000,0.000000
12,9.153053,8.799037,2.352667,8.243236,2.407007,-4.534723,0.000000,0.000000,0.000000
13,-0.354588,7.875232,0.579695,6.623992,1.770822,-1.740795,0.000000,0.000000,0.000000
14,2.329145,-4.442207,-5.596920,3.169607,-0.921767,-1.046880,-0.000000,0.000000,0.000000
15,2.418216,-6.145230,-6.929004,2.563322,-1.414060,-0.923464,0.000000,-0.000000,0.000000
16,-3.784759,10.429445,1.906545,7.039041,2.361825,-1.015345,-0.000000,0.000000,-0.000000
17,7.784154,9.692131,2.481085,8.278524,2.501071,-4.296995,0.000000,0.000000,-0.000000
18,6.249103,9.061053,2.231865,7.952013,2.359223,-3.729555,-0.000000,0.000000,0.000000
19,8.456552,9.375196,4.350167,8.781440,3.002216,-4.103263,-0.000000,0.000000,0.000000
20,8.484744,8.208648,3.189477,8.294846,2.581288,-4.050673,-0.000000,0.000000,-0.000000
21,20.927376,14.908908,-3.759049,11.676766,4.931358,-10.902549,2.421237,3.369796,1.560333
22,18.900854,12.310518,-2.256156,10.298904,4.408328,-8.933796,-0.000000,0.000000,-0.000000
23,18.238647,10.139527,-1.742689,9.483937,3.857887,-7.873139,0.000000,-0.000000,-0.000000
24,20.832695,10.665064,-2.188619,10.223295,4.306024,-9.248259,0.000000,-0.000000,0.000000
25,20.704437,12.852911,-4.193825,10.513337,4.047151,-10.817505,-0.000000,-0.000000,-0.000000
26,3.287699,10.091644,-8.832142,4.972479,-0.654056,-4.984142,0.000000,0.000000,-0.000000
27,2.013103,9.505689,-8.202144,4.904173,-0.533811,-4.350984,-0.000000,-0.000000,-0.000000
28,2.560863,10.176541,-6.052661,5.616873,0.125441,-4.294201,0.000000,0.000000,0.000000
29,6.968631,-6.704745,-4.633569,3.414041,-0.957415,-1.773079,-0.000000,-0.000000,-0.000000
30,-0.396049,6.768998,-5.186484,4.958991,0.082638,-2.477694,-0.000000,0.000000,-0.000000
31,-1.255387,5.279948,-4.141264,4.878643,0.253598,-1.706384,-0.000000,-0.000000,-0.000000
32,10.549448,3.761871,-4.477425,5.781928,0.095141,-4.910493,-0.000000,-0.000000,-0.000000
33,-1.165245,13.675394,5.406120,8.765675,3.601294,-1.928500,-0.000000,0.000000,0.000000
34,-1.406032,13.021060,4.420871,8.376708,3.273140,-1.880669,0.000000,0.000000,0.000000
35,8.777269,10.436059,0.294245,7.935449,1.969539,-5.149815,-0.000000,-0.000000,-0.000000
36,8.314899,9.320039,1.729325,8.078877,2.266929,-4.506265,0.000000,0.000000,-0.000000
37,-2.152774,11.533816,5.163542,8.231126,3.355646,-1.199778,-0.000000,-0.000000,-0.000000
38,-2.281880,12.279614,5.701068,8.482720,3.567944,-1.230542,0.000000,-0.000000,-0.000000
39,19.179565,9.661230,-3.441113,9.078565,3.108210,-8.976193,-0.000000,0.000000,0.000000
40,-5.564100,-13.279100,-3.536420,0.000000,0.000000,0.000000,-1.463067,-4.608972,-3.177667
41,-6.415732,-12.284146,-2.032680,0.304638,0.193654,0.132070,-0.000000,0.000000,-0.000000
42,-5.044686,-11.696571,-3.530076,0.261044,0.219229,0.182594,-0.000000,-0.000000,-0.000000
