index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
0,-7.541069,-15.862172,12.646701,0.917811,2.724728,20.184201,0.000000,0.000000,0.000000
1,65.939041,0.366941,-12.700244,-0.325959,1.535851,3.258256,-0.000000,0.000000,-0.000000
2,-17.933600,9.324823,35.056830,5.550800,3.715443,21.843330,0.000000,-0.000000,-0.000000
3,-27.442217,8.920677,44.457660,7.133683,4.071717,24.356160,-0.000000,0.000000,0.000000
4,2.490226,16.941623,-6.851462,-1.901954,1.766323,15.530038,0.000000,-0.000000,0.000000
5,-36.299605,15.931972,27.401317,3.304995,3.336572,24.999817,0.000000,0.000000,0.000000
6,16.530645,-25.756096,-6.322424,-1.944455,1.717204,15.342076,-0.000000,-0.000000,-0.000000
7,22.136499,-26.720280,-5.315414,-1.548801,1.821520,14.357086,0.000000,-0.000000,0.000000
8,17.640188,-28.649818,0.053536,-0.721612,2.105382,15.571036,-0.000000,0.000000,-0.000000
9,-5.469160,14.268719,10.087964,0.959130,2.701019,17.907464,-0.000000,0.000000,-0.000000
10,31.120282,17.629867,-5.116184,-0.407118,2.077067,9.963316,-0.000000,-0.000000,0.000000
11,21.528329,-28.824787,7.605630,0.880929,2.604013,15.152130,-0.000000,0.000000,-0.000000
12,65.623210,18.954900,-24.188037,0.121810,0.491300,0.260463,-0.000000,0.000000,-0.000000
13,3.536928,13.868417,-4.031373,-1.372042,1.921417,15.614127,-0.000000,-0.000000,0.000000
14,-31.664341,5.044072,45.811236,7.162159,4.092210,25.481736,-0.000000,-0.000000,0.000000
15,-24.397667,2.801800,44.343253,7.134433,4.068920,23.935753,0.000000,-0.000000,0.000000
16,-44.719110,1.388261,35.725149,4.417690,3.789361,27.803649,0.000000,0.000000,-0.000000
17,-33.001545,14.009364,3.310885,-1.583545,2.064564,22.713385,-0.000000,-0.000000,0.000000
18,-12.749551,11.660019,44.850382,7.952549,4.144539,21.148882,0.000000,-0.000000,-0.000000
19,-15.878006,13.673995,44.581220,7.774694,4.122495,21.719720,-0.000000,-0.000000,-0.000000
20,-20.898463,12.450829,34.387949,5.343737,3.686559,22.308449,-0.000000,0.000000,0.000000
21,46.828239,-2.470362,-5.276331,-0.108461,2.162348,8.039169,-0.000000,-0.000000,-0.000000
22,4.708493,-15.311699,17.744708,2.385283,3.141501,18.001208,-0.000000,-0.000000,-0.000000
23,-18.824892,16.371997,12.176191,0.790008,2.710297,20.403691,0.000000,-0.000000,0.000000
24,-68.231022,27.906658,-24.935346,-3.861822,1.587358,-1.914846,0.000000,0.000000,-0.000000
25,18.748598,13.634463,14.908094,2.884698,3.191963,13.454594,-0.000000,0.000000,-0.000000
26,15.009189,-24.926662,10.333969,1.214289,2.735438,16.296469,-0.000000,-0.000000,-0.000000
